date,volume_ww
2022-02-06,438
2022-02-07,1021
2022-02-08,235
2022-02-09,138
2022-02-10,314
2022-02-11,327
2022-02-12,729
2022-02-13,334
2022-02-14,783
2022-02-15,260
2022-02-16,362
2022-02-17,718
2022-02-18,285
2022-02-19,251
2022-02-20,201
2022-02-21,959
2022-02-22,286
2022-02-23,288
2022-02-24,531
2022-02-25,235
2022-02-26,265
2022-02-27,949
2022-03-28,501
2022-03-29,266
2022-03-30,341
2022-02-28,254
2022-03-01,396
2022-03-02,520
2022-03-03,636
2022-03-04,386
2022-03-05,116
2022-03-06,246
2022-03-07,520
2022-03-08,207
2022-03-09,236
2022-03-10,345
2022-03-11,190
2022-03-12,276
2022-03-13,314
2022-03-14,736
2022-03-15,320
2022-03-16,344
2022-03-17,305
2022-03-18,276
2022-03-19,440
2022-03-20,397
2022-03-21,818
2022-03-22,550
2022-03-23,597
2022-03-24,607
2022-03-25,244
2022-03-26,393
2022-03-27,443
2022-03-28,192
2022-03-29,209
2022-03-31,1492
2022-04-01,1129
2022-04-02,754
2022-04-03,513
2022-04-04,253
2022-04-05,326
2022-04-06,515
2022-04-07,137
2022-04-08,254
2022-04-09,210
2022-04-10,265
2022-04-11,406
2022-04-12,593
2022-04-13,877
2022-04-14,187
2022-04-15,509
2022-04-16,549
2022-04-17,240
2022-04-18,242
2022-04-19,175
2022-04-20,457
2022-04-21,386
2022-04-22,364
2022-04-23,428
2022-04-24,117
2022-04-25,617
2022-04-26,490
2022-04-27,135
2022-04-28,302
2022-04-29,680
2022-05-30,742
2022-04-30,696
2022-05-01,663
2022-05-02,491
2022-05-03,398
2022-05-04,1576
2022-05-05,791
2022-05-06,601
2022-05-07,281
2022-05-08,262
2022-05-09,524
2022-05-10,205
2022-05-11,406
2022-05-12,409
2022-05-13,204
2022-05-14,424
2022-05-15,465
2022-05-16,285
2022-05-17,179
2022-05-18,488
2022-05-19,430
2022-05-20,276
2022-05-21,554
2022-05-22,403
2022-05-23,501
2022-05-24,441
2022-05-25,172
2022-05-26,646
2022-05-27,385
2022-05-28,364
2022-05-29,330
2022-05-31,408
2022-06-01,209
2022-06-02,118
2022-06-03,484
2022-06-04,178
2022-06-05,543
2022-06-06,294
2022-06-07,70
2022-06-08,71
2022-06-09,195
2022-06-10,238
2022-06-11,215
2022-06-12,263
2022-06-13,591
2022-06-14,347
2022-06-15,184
2022-06-16,181
2022-06-17,170
2022-06-18,133
2022-06-19,194
2022-06-20,386
2022-06-21,264
2022-06-22,309
2022-06-23,572
2022-06-24,179
2022-06-25,148
2022-06-26,219
2022-06-27,305
2022-06-28,444
2022-06-29,313
2022-07-30,159
2022-06-30,912
2022-07-01,262
2022-07-02,920
2022-07-03,568
2022-07-04,504
2022-07-05,123
2022-07-06,730
2022-07-07,170
2022-07-08,250
2022-07-09,407
2022-07-10,206
2022-07-11,446
2022-07-12,299
2022-07-13,707
2022-07-14,570
2022-07-15,345
2022-07-16,255
2022-07-17,260
2022-07-18,611
2022-07-19,474
2022-07-20,376
2022-07-21,479
2022-07-22,567
2022-07-23,719
2022-07-24,142
2022-07-25,243
2022-07-26,344
2022-07-27,139
2022-07-28,203
2022-07-29,439
2022-07-30,332
2022-07-31,252
2022-08-01,406
2022-08-02,99
2022-08-03,200
2022-08-04,156
2022-08-05,325
2022-08-06,109
2022-08-07,877
2022-08-08,178
2022-08-09,365
2022-08-10,558
2022-08-11,168
2022-08-12,428
2022-08-13,861
2022-08-14,279
2022-08-15,145
2022-08-16,179
2022-08-17,160
2022-08-18,127
2022-08-19,311
2022-08-20,197
2022-08-21,466
2022-08-22,182
2022-08-23,176
2022-08-24,30
2022-08-25,38
2022-08-26,320
2022-08-27,266
2022-08-28,309
2022-08-29,510
2022-08-31,638
2022-09-01,1273
2022-09-02,354
2022-09-03,504
2022-09-04,209
2022-09-05,28
2022-09-06,231
2022-09-07,197
2022-09-08,227
2022-09-09,166
2022-09-10,259
2022-09-11,445
2022-09-12,394
2022-09-13,87
2022-09-14,242
2022-09-15,43
2022-09-16,73
2022-09-17,271
2022-09-18,55
2022-09-19,257
2022-09-20,245
2022-09-21,91
2022-09-22,210
2022-09-23,147
2022-09-24,210
2022-09-25,194
2022-09-26,72
2022-09-27,57
2022-09-28,250
2022-09-29,111
2022-10-30,119
2022-09-30,275
2022-10-01,61
2022-10-02,109
2022-10-03,203
2022-10-04,116
2022-10-05,150
2022-10-06,787
2022-10-07,219
2022-10-08,434
2022-10-09,210
2022-10-10,275
2022-10-11,154
2022-10-12,162
2022-10-13,162
2022-10-14,222
2022-10-15,109
2022-10-16,106
2022-10-17,162
2022-10-18,21
2022-10-19,145
2022-10-20,169
2022-10-21,197
2022-10-22,186
2022-10-23,86
2022-10-24,83
2022-10-25,17
2022-10-26,329
2022-10-27,272
2022-10-28,207
2022-10-29,203
2022-10-31,508
2022-11-01,169
2022-11-02,145
2022-11-03,264
2022-11-04,124
2022-11-05,160
2022-11-06,154
2022-11-07,89
2022-11-08,137
2022-11-09,223
2022-11-10,132
2022-11-11,21
2022-11-12,66
2022-11-13,437
2022-11-14,336
2022-11-15,77
2022-11-16,100
2022-11-17,388
2022-11-18,403
2022-11-19,236
2022-11-20,96
2022-11-21,137
2022-11-22,38
2022-11-23,51
2022-11-24,20
2022-11-25,45
2022-11-26,333
2022-11-27,225
2022-11-28,67
2022-11-29,568
2022-12-30,257
2022-11-30,105
2022-12-01,107
2022-12-02,132
2022-12-03,149
2022-12-04,168
2022-12-05,114
2022-12-06,585
2022-12-07,306
2022-12-08,488
2022-12-09,226
2022-12-10,261
2022-12-11,134
2022-12-12,118
2022-12-13,43
2022-12-14,107
2022-12-15,64
2022-12-16,37
2022-12-17,158
2022-12-18,87
2022-12-19,141
2022-12-20,253
2022-12-21,88
2022-12-22,200
2022-12-23,315
2022-12-24,173
2022-12-25,94
2022-12-26,242
2022-12-27,81
2022-12-28,90
2022-12-29,61
2022-12-30,213
2022-12-31,230
