date,volume_na,volume_sa,volume_eu,volume_af,volume_as,volume_au,volume_ww
2019-05-13,0.00,0.00,0.00,0.00,0.00,0.00,2119.18
2019-05-14,0.00,0.00,0.00,0.00,0.00,0.00,999.08
2019-05-15,0.00,0.00,0.00,0.00,0.00,0.00,1111.23
2019-05-16,0.00,0.00,0.00,0.00,0.00,0.00,3913.65
2019-05-17,0.00,0.00,0.00,0.00,0.00,0.00,4465.86
2019-05-18,0.00,0.00,0.00,0.00,0.00,0.00,2038.92
2019-05-19,0.00,0.00,0.00,0.00,0.00,0.00,1470.26
2019-05-20,0.00,0.00,0.00,0.00,0.00,0.00,1387.06
2019-05-21,0.00,0.00,0.00,0.00,0.00,0.00,2531.80
2019-05-22,0.00,0.00,0.00,0.00,0.00,0.00,1969.30
2019-05-23,0.00,0.00,0.00,0.00,0.00,0.00,1734.24
2019-05-24,0.00,0.00,0.00,0.00,0.00,0.00,1059.39
2019-05-25,0.00,0.00,0.00,0.00,0.00,0.00,1768.23
2019-05-26,0.00,0.00,0.00,0.00,0.00,0.00,2522.88
2019-05-27,0.00,0.00,0.00,0.00,0.00,0.00,1603.21
2019-05-28,0.00,0.00,0.00,0.00,0.00,0.00,919.34
2019-05-29,0.00,0.00,0.00,0.00,0.00,0.00,1484.99
2019-05-30,0.00,0.00,0.00,0.00,0.00,0.00,3078.61
2019-05-31,0.00,0.00,0.00,0.00,0.00,0.00,2639.94
2019-06-01,0.00,0.00,0.00,0.00,0.00,0.00,3688.33
2019-06-02,0.00,0.00,0.00,0.00,0.00,0.00,3525.38
2019-06-03,0.00,0.00,0.00,0.00,0.00,0.00,1637.01
2019-06-04,0.00,0.00,0.00,0.00,0.00,0.00,1211.16
2019-06-05,0.00,0.00,0.00,0.00,0.00,0.00,1768.06
2019-06-06,0.00,0.00,0.00,0.00,0.00,0.00,1618.13
2019-06-07,0.00,0.00,0.00,0.00,0.00,0.00,1743.08
2019-06-08,0.00,0.00,0.00,0.00,0.00,0.00,1708.02
2019-06-09,0.00,0.00,0.00,0.00,0.00,0.00,2102.82
2019-06-10,0.00,0.00,0.00,0.00,0.00,0.00,2592.04
2019-06-11,0.00,0.00,0.00,0.00,0.00,0.00,1898.00
2019-06-12,0.00,0.00,0.00,0.00,0.00,0.00,2828.79
